Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,Dejounte Murray,24.0,PG,67,67,2139,63,38,0,0,0,1.7,8.9,68,32,47,7,61,8,847,19,56,,SAS,2021
2.0,DeMar DeRozan,31.0,PF,61,61,2056,0,0,31,69,0,-2.5,-1.9,55,49,66,5,220,15,1044,51,60,,SAS,2021
3.0,Keldon Johnson,21.0,SF,69,67,1968,0,6,83,12,0,-4.1,-5.4,29,27,74,11,108,3,280,31,66,,SAS,2021
4.0,Jakob Poeltl,25.0,C,69,51,1845,0,0,0,0,100,3.2,10.3,33,15,113,26,53,4,304,23,29,,SAS,2021
5.0,Patty Mills,32.0,PG,68,1,1685,100,0,0,0,0,1.5,6.3,37,17,31,3,20,23,373,4,18,,SAS,2021
6.0,Lonnie Walker IV,22.0,SG,60,38,1522,3,79,17,0,0,-6.7,-8.9,35,13,61,6,37,4,239,14,27,,SAS,2021
7.0,Rudy Gay,34.0,PF,63,1,1358,0,0,3,88,9,4.4,10.1,28,24,59,7,45,4,208,8,21,,SAS,2021
8.0,Derrick White,26.0,SG,36,32,1064,13,70,17,0,0,4.9,9.4,26,12,45,1,51,29,289,12,29,,SAS,2021
9.0,Devin Vassell,20.0,SF,62,7,1056,1,46,52,1,0,-2.5,-1.1,11,3,51,0,26,3,138,7,7,,SAS,2021
10.0,Drew Eubanks,23.0,C,54,3,755,0,0,0,2,98,-5.4,-4.7,11,10,56,16,43,6,97,10,19,,SAS,2021
11.0,LaMarcus Aldridge,35.0,C,21,18,544,0,0,0,3,98,-6.5,-5.7,9,3,26,6,18,0,90,2,7,,SAS,2021
12.0,Trey Lyles,25.0,PF,23,9,358,0,0,12,77,12,-14.7,-14.4,3,1,10,1,12,0,31,1,0,,SAS,2021
13.0,Luka Å amaniÄ,21.0,PF,33,4,308,0,0,0,90,10,-5.6,-4.3,6,5,27,4,14,2,32,4,8,,SAS,2021
14.0,Tre Jones,21.0,PG,37,1,269,92,8,0,0,0,-16.7,-16.2,8,4,7,0,10,1,89,1,8,,SAS,2021
15.0,Keita Bates-Diop,25.0,SF,30,0,245,0,10,65,25,0,-8.2,-7.0,1,2,6,2,10,0,27,3,8,,SAS,2021
16.0,Gorgui Dieng,31.0,C,16,0,181,0,0,0,0,100,-16.9,-16.0,6,1,9,2,11,1,42,4,2,,SAS,2021
17.0,Quinndary Weatherspoon,24.0,SG,20,0,121,17,81,2,0,0,-23.9,-23.0,5,1,12,1,7,1,16,2,4,,SAS,2021
18.0,Cameron Reynolds,25.0,SF,3,0,6,0,0,100,0,0,-38.5,-36.8,0,0,0,0,0,0,0,0,0,,SAS,2021
,Team Totals,,,72,72,17480,20,20,20,20,20,-1.7,1.0,371,219,700,98,746,104,4146,196,369,,SAS,2021
