No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
23,Jamal Shead,PG,6-1,200,"June 24, 2002",us US,1,Houston,TOR,2026
4,Scottie Barnes,PF,6-8,237,"August 1, 2001",us US,4,Florida State,TOR,2026
54,Sandro Mamukelashvili,C,6-9,240,"May 23, 1999",us US,4,Seton Hall,TOR,2026
3,Brandon Ingram,SF,6-8,190,"September 2, 1997",us US,9,Duke,TOR,2026
1,Gradey Dick,SG,6-7,200,"November 20, 2003",us US,2,Kansas,TOR,2026
14,Ja'Kobe Walter,SG,6-4,180,"September 4, 2004",us US,1,Baylor,TOR,2026
5,Immanuel Quickley,PG,6-2,190,"June 17, 1999",us US,5,Kentucky,TOR,2026
77,Jamison Battle,SF,6-7,220,"May 10, 2001",us US,1,"George Washington, Minnesota, Ohio State",TOR,2026
9,RJ Barrett,SF,6-6,214,"June 14, 2000",ca CA,6,Duke,TOR,2026
12,Collin Murray-Boyles,PF,6-7,245,"June 10, 2005",us US,R,South Carolina,TOR,2026
19,Jakob Poeltl,C,7-0,253,"October 15, 1995",at AT,9,Utah,TOR,2026
2,Jonathan Mogbo,PF,6-9,225,"October 29, 2001",us US,1,"Missouri State, San Francisco",TOR,2026
0,A.J. Lawson,SG,6-6,179,"July 15, 2000",ca CA,3,South Carolina,TOR,2026
55,Alijah Martin (TW),SG,6-2,210,"December 26, 2001",us US,R,"Florida Atlantic University, Florida",TOR,2026
17,Garrett Temple,SG,6-5,195,"May 8, 1986",us US,15,LSU,TOR,2026
32,Trayce Jackson-Davis,C,6-9,245,"February 22, 2000",us US,2,Indiana,TOR,2026
24,Chucky Hepburn (TW),PG,6-0,190,"February 9, 2003",us US,R,"Wisconsin, Louisville",TOR,2026
