G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Team,Season
1,"Wed, Oct 25, 2023",10:30p,,Box Score,,Portland Trail Blazers,W,,123,111,1,0,W 1,19370,2:09,,LAC,2024
2,"Fri, Oct 27, 2023",9:30p,,Box Score,@,Utah Jazz,L,,118,120,1,1,L 1,18206,2:15,,LAC,2024
3,"Sun, Oct 29, 2023",9:00p,,Box Score,,San Antonio Spurs,W,,123,83,2,1,W 1,19370,2:06,,LAC,2024
4,"Tue, Oct 31, 2023",10:30p,,Box Score,,Orlando Magic,W,,118,102,3,1,W 2,14014,2:17,,LAC,2024
5,"Wed, Nov 1, 2023",10:00p,,Box Score,@,Los Angeles Lakers,L,OT,125,130,3,2,L 1,18997,2:46,,LAC,2024
6,"Mon, Nov 6, 2023",7:30p,,Box Score,@,New York Knicks,L,,97,111,3,3,L 2,19812,2:09,,LAC,2024
7,"Wed, Nov 8, 2023",7:30p,,Box Score,@,Brooklyn Nets,L,,93,100,3,4,L 3,17933,2:03,,LAC,2024
8,"Fri, Nov 10, 2023",8:30p,,Box Score,@,Dallas Mavericks,L,,126,144,3,5,L 4,20377,2:24,In-Season Tournament,LAC,2024
9,"Sun, Nov 12, 2023",3:30p,,Box Score,,Memphis Grizzlies,L,,101,105,3,6,L 5,17220,2:25,,LAC,2024
10,"Tue, Nov 14, 2023",10:00p,,Box Score,@,Denver Nuggets,L,,108,111,3,7,L 6,19661,2:29,In-Season Tournament,LAC,2024
11,"Fri, Nov 17, 2023",10:30p,,Box Score,,Houston Rockets,W,,106,100,4,7,W 1,19370,2:27,In-Season Tournament,LAC,2024
12,"Mon, Nov 20, 2023",8:00p,,Box Score,@,San Antonio Spurs,W,,124,99,5,7,W 2,18354,2:05,,LAC,2024
13,"Wed, Nov 22, 2023",8:00p,,Box Score,@,San Antonio Spurs,W,,109,102,6,7,W 3,18354,2:16,,LAC,2024
14,"Fri, Nov 24, 2023",10:30p,,Box Score,,New Orleans Pelicans,L,,106,116,6,8,L 1,19370,2:20,In-Season Tournament,LAC,2024
15,"Sat, Nov 25, 2023",10:30p,,Box Score,,Dallas Mavericks,W,,107,88,7,8,W 1,19370,2:09,,LAC,2024
16,"Mon, Nov 27, 2023",10:30p,,Box Score,,Denver Nuggets,L,,104,113,7,9,L 1,17071,2:26,,LAC,2024
17,"Wed, Nov 29, 2023",10:00p,,Box Score,@,Sacramento Kings,W,,131,117,8,9,W 1,17829,2:17,,LAC,2024
18,"Thu, Nov 30, 2023",10:00p,,Box Score,@,Golden State Warriors,L,,114,120,8,10,L 1,18064,2:23,,LAC,2024
19,"Sat, Dec 2, 2023",4:00p,,Box Score,,Golden State Warriors,W,,113,112,9,10,W 1,19370,2:20,,LAC,2024
20,"Wed, Dec 6, 2023",10:00p,,Box Score,,Denver Nuggets,W,,111,102,10,10,W 2,16365,2:13,,LAC,2024
21,"Fri, Dec 8, 2023",10:00p,,Box Score,@,Utah Jazz,W,,117,103,11,10,W 3,18206,2:21,,LAC,2024
22,"Mon, Dec 11, 2023",10:30p,,Box Score,,Portland Trail Blazers,W,,132,127,12,10,W 4,17102,2:28,,LAC,2024
23,"Tue, Dec 12, 2023",10:30p,,Box Score,,Sacramento Kings,W,,119,99,13,10,W 5,17060,2:11,,LAC,2024
24,"Thu, Dec 14, 2023",10:30p,,Box Score,,Golden State Warriors,W,,121,113,14,10,W 6,19370,2:18,,LAC,2024
25,"Sat, Dec 16, 2023",10:30p,,Box Score,,New York Knicks,W,,144,122,15,10,W 7,19370,2:15,,LAC,2024
26,"Mon, Dec 18, 2023",7:00p,,Box Score,@,Indiana Pacers,W,,151,127,16,10,W 8,16665,2:15,,LAC,2024
27,"Wed, Dec 20, 2023",8:30p,,Box Score,@,Dallas Mavericks,W,,120,111,17,10,W 9,20310,2:20,,LAC,2024
28,"Thu, Dec 21, 2023",8:00p,,Box Score,@,Oklahoma City Thunder,L,,115,134,17,11,L 1,18203,2:08,,LAC,2024
29,"Sat, Dec 23, 2023",3:30p,,Box Score,,Boston Celtics,L,,108,145,17,12,L 2,19370,2:09,,LAC,2024
30,"Tue, Dec 26, 2023",10:30p,,Box Score,,Charlotte Hornets,W,,113,104,18,12,W 1,19370,2:06,,LAC,2024
31,"Fri, Dec 29, 2023",10:30p,,Box Score,,Memphis Grizzlies,W,,117,106,19,12,W 2,19370,2:15,,LAC,2024
32,"Mon, Jan 1, 2024",10:30p,,Box Score,,Miami Heat,W,,121,104,20,12,W 3,19370,2:10,,LAC,2024
33,"Wed, Jan 3, 2024",9:00p,,Box Score,@,Phoenix Suns,W,,131,122,21,12,W 4,17071,2:28,,LAC,2024
34,"Fri, Jan 5, 2024",8:00p,,Box Score,@,New Orleans Pelicans,W,,111,95,22,12,W 5,18329,1:58,,LAC,2024
35,"Sun, Jan 7, 2024",9:30p,,Box Score,@,Los Angeles Lakers,L,,103,106,22,13,L 1,18997,2:16,,LAC,2024
36,"Mon, Jan 8, 2024",10:30p,,Box Score,,Phoenix Suns,W,,138,111,23,13,W 1,19370,2:11,,LAC,2024
37,"Wed, Jan 10, 2024",10:30p,,Box Score,,Toronto Raptors,W,,126,120,24,13,W 2,19370,2:07,,LAC,2024
38,"Fri, Jan 12, 2024",8:00p,,Box Score,@,Memphis Grizzlies,W,,128,119,25,13,W 3,16617,2:07,,LAC,2024
39,"Sun, Jan 14, 2024",7:00p,,Box Score,@,Minnesota Timberwolves,L,,105,109,25,14,L 1,18024,2:26,,LAC,2024
40,"Tue, Jan 16, 2024",10:00p,,Box Score,,Oklahoma City Thunder,W,,128,117,26,14,W 1,19370,2:20,,LAC,2024
