No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
5,Malik Beasley,SG,6-4,187,"November 26, 1996",us US,8,Florida State,DET,2025
2,Cade Cunningham,PG,6-6,220,"September 25, 2001",us US,3,Oklahoma State,DET,2025
0,Jalen Duren,C,6-10,250,"November 18, 2003",us US,2,Memphis,DET,2025
19,Simone Fontecchio,SF,6-7,209,"December 9, 1995",it IT,2,,DET,2025
8,Tim Hardaway Jr.,SG,6-5,205,"March 16, 1992",us US,11,Michigan,DET,2025
13,Ron Harper Jr.,SF,6-5,233,"April 12, 2000",us US,2,Rutgers University,DET,2025
12,Tobias Harris,PF,6-8,226,"July 15, 1992",us US,13,Tennessee,DET,2025
0,Ron Holland,SF,6-8,206,"July 7, 2005",us US,R,,DET,2025
23,Jaden Ivey,SG,6-3,195,"February 13, 2002",us US,2,Purdue,DET,2025
24,Daniss Jenkins,PG,6-4,165,"August 17, 2001",us US,R,"University of the Pacific, Odessa College, Iona College, St. John's",DET,2025
34,Bobi Klintman,SF,6-9,225,"March 6, 2003",se SE,R,Wake Forest,DET,2025
14,Wendell Moore Jr.,SG,6-5,215,"September 18, 2001",us US,2,Duke,DET,2025
7,Paul Reed,C,6-9,210,"June 14, 1999",us US,4,DePaul,DET,2025
25,Marcus Sasser,PG,6-1,195,"September 21, 2000",us US,1,Houston,DET,2025
17,Dennis Schr̦der,PG,6-1,175,"September 15, 1993",de DE,11,,DET,2025
35,Tolu Smith,PF,6-11,254,"July 26, 2000",us US,R,"Western Kentucky, Mississippi State",DET,2025
28,Isaiah Stewart,C,6-8,250,"May 22, 2001",us US,4,Washington,DET,2025
13,Cole Swider,SF,6-10,220,"May 8, 1999",us US,2,"Villanova, Syracuse",DET,2025
9,Ausar Thompson,SF,6-7,205,"January 30, 2003",us US,1,,DET,2025
43,Lindy Waters III,SG,6-5,210,"July 28, 1997",us US,3,Oklahoma State,DET,2025
31,Alondes Williams,SG,6-4,210,"June 19, 1999",us US,2,"Triton College, Oklahoma, Wake Forest",DET,2025
