No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
15,Branden Carlson,C,7-0,220,"June 14, 1999",us US,R,Utah,OKC,2025
9,Alex Caruso,SG,6-5,186,"February 28, 1994",us US,7,Texas A&M,OKC,2025
13,Ousmane Dieng,C,6-9,185,"May 21, 2003",fr FR,2,,OKC,2025
5,Luguentz Dort,SF,6-4,220,"April 19, 1999",ca CA,5,Arizona State,OKC,2025
88,Alex Ducas,SG,6-7,220,"December 11, 2000",au AU,R,Saint Mary's,OKC,2025
14,Adam Flagler,SG,6-1,180,"December 1, 1999",us US,1,"Presbyterian College, Baylor",OKC,2025
2,Shai Gilgeous-Alexander,PG,6-6,195,"July 12, 1998",ca CA,6,Kentucky,OKC,2025
55,Isaiah Hartenstein,C,7-0,250,"May 5, 1998",us US,6,,OKC,2025
7,Chet Holmgren,C,7-1,208,"May 1, 2002",us US,1,Gonzaga,OKC,2025
11,Isaiah Joe,SG,6-4,165,"July 2, 1999",us US,4,Arkansas,OKC,2025
3,Dillon Jones,SF,6-5,235,"October 29, 2001",us US,R,Weber State,OKC,2025
17,Malevy Leons,SF,6-9,210,"September 23, 1999",nl NL,R,"Mineral Area College, Bradley",OKC,2025
25,Ajay Mitchell,SG,6-4,190,"June 25, 2002",be BE,R,UC Santa Barbara,OKC,2025
15,Alex Reese,PF,6-9,245,"May 21, 1999",us US,R,Alabama,OKC,2025
22,Cason Wallace,SG,6-3,195,"November 7, 2003",us US,1,Kentucky,OKC,2025
21,Aaron Wiggins,SG,6-5,190,"January 2, 1999",us US,3,Maryland,OKC,2025
8,Jalen Williams,SG,6-5,211,"April 14, 2001",us US,2,Santa Clara,OKC,2025
6,Jaylin Williams,PF,6-9,240,"June 29, 2002",us US,2,Arkansas,OKC,2025
34,Kenrich Williams,PF,6-7,210,"December 2, 1994",us US,6,TCU,OKC,2025
